sample_name	amplicon	readsout
07M0698	Off_target_2_BRCA1_18	0
07M0698	Off_target_6_BRCA1_18	0
07M0698	Off_target_9_PTEN_9_5	497
07M0698	Off_target_9_PTEN_5_2	461
07M0698	PTEN_1_1	1611
07M0698	PTEN_1_2	1620
07M0698	PTEN_2_1	785
07M0698	PTEN_2_2	1523
07M0698	PTEN_3_1	821
07M0698	PTEN_4_1	1092
07M0698	PTEN_4_2	1668
07M0698	PTEN_5_1	1434
07M0698	PTEN_5_2	1071
07M0698	PTEN_5_3	1590
07M0698	PTEN_6_1	1557
07M0698	PTEN_6_2	1351
07M0698	PTEN_6_3r_1	1696
07M0698	PTEN_7_1	1388
07M0698	PTEN_7_2	1703
07M0698	PTEN_7_3	1978
07M0698	PTEN_8_1	1236
07M0698	PTEN_8_2	1408
07M0698	PTEN_8_3	1722
07M0698	PTEN_9_2	1106
07M0698	PTEN_9_3	1022
07M0698	PTEN_9_4	1951
07M0698	PTEN_9_5	791
07M0698	BRCA2_MCPV2_1	1212
07M0698	BRCA2_MCPV2_2	1502
07M0698	BRCA2_MCPV2_3	1542
07M0698	BRCA2_MCPV2_4	1674
07M0698	BRCA2_MCPV2_5	1285
07M0698	BRCA2_MCPV2_6r_2	603
07M0698	BRCA2_MCPV2_7	1890
07M0698	BRCA2_MCPV2_8	1294
07M0698	BRCA2_MCPV2_9	2127
07M0698	BRCA2_MCPV2_10	1909
07M0698	BRCA2_MCPV2_11	1223
07M0698	BRCA2_MCPV2_12	620
07M0698	BRCA2_MCPV2_13	1254
07M0698	BRCA2_MCPV2_14	1191
07M0698	BRCA2_MCPV2_15	1522
07M0698	BRCA2_MCPV2_16	1430
07M0698	BRCA2_MCPV2_17	2219
07M0698	BRCA2_MCPV2_18	1270
07M0698	BRCA2_MCPV2_19	1195
07M0698	BRCA2_MCPV2_20	1523
07M0698	BRCA2_MCPV2_21	1439
07M0698	BRCA2_MCPV2_22	1323
07M0698	BRCA2_MCPV2_23	1261
07M0698	BRCA2_MCPV2_24r_1	1410
07M0698	BRCA2_MCPV2_25	1095
07M0698	BRCA2_MCPV2_26	1631
07M0698	BRCA2_MCPV2_27	1353
07M0698	BRCA2_MCPV2_28	1277
07M0698	BRCA2_MCPV2_29	1286
07M0698	BRCA2_MCPV2_30	1297
07M0698	BRCA2_MCPV2_31	1396
07M0698	BRCA2_MCPV2_32	1496
07M0698	BRCA2_MCPV2_33	1499
07M0698	BRCA2_MCPV2_34	1189
07M0698	BRCA2_MCPV2_35	1385
07M0698	BRCA2_MCPV2_36	1809
07M0698	BRCA2_MCPV2_37r_1	735
07M0698	BRCA2_MCPV2_38	1547
07M0698	BRCA2_MCPV2_39	1457
07M0698	BRCA2_MCPV2_40	1381
07M0698	BRCA2_MCPV2_41	971
07M0698	BRCA2_MCPV2_42	1014
07M0698	BRCA2_MCPV2_43	1436
07M0698	BRCA2_MCPV2_44	1280
07M0698	BRCA2_MCPV2_45r_1	1181
07M0698	BRCA2_MCPV2_46	965
07M0698	BRCA2_MCPV2_46a	685
07M0698	BRCA2_MCPV2_47	670
07M0698	BRCA2_MCPV2_48	1586
07M0698	BRCA2_MCPV2_49	1427
