datestamp	timestamp	runtime	type	seqrun	sample	stage	elapsed	description	attributes
160822	11:44:51.51	0.000	STARTED	null	null	null	null	Pipeline started	[type:STARTED, desc:Pipeline started]
160822	11:44:52.52	0.010	STAGE_STARTED	null	null	mp_validateSamples	null	Starting stage mp_validateSamples	[type:STAGE_STARTED, desc:Starting stage mp_validateSamples, stage:mp_validateSamples]
160822	11:44:52.52	0.017	STAGE_COMPLETED	null	null	mp_validateSamples	0.197	Finished stage mp_validateSamples	[type:STAGE_COMPLETED, desc:Finished stage mp_validateSamples, stage:mp_validateSamples, title:Validate paramaters, author:Ken Doig, Molecular Pathology, stgdesc:Validate Seqrun and Sample paramaters from TSV file, start:Mon Aug 22 11:44:52 AEST 2016, end:Mon Aug 22 11:44:52 AEST 2016, elapsed:0.197]
160822	11:44:54.54	0.042	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [23:16M5474]	[type:STAGE_STARTED, desc:Starting stage mp_branch [23:16M5474], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.043	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [26:16M5486]	[type:STAGE_STARTED, desc:Starting stage mp_branch [26:16M5486], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.043	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [30:16M5491]	[type:STAGE_STARTED, desc:Starting stage mp_branch [30:16M5491], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.044	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [3:13M2137]	[type:STAGE_STARTED, desc:Starting stage mp_branch [3:13M2137], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.044	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [25:16M5484]	[type:STAGE_STARTED, desc:Starting stage mp_branch [25:16M5484], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.044	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [35:16M5511]	[type:STAGE_STARTED, desc:Starting stage mp_branch [35:16M5511], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.045	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [11:16M5228]	[type:STAGE_STARTED, desc:Starting stage mp_branch [11:16M5228], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.045	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5474	mp_branch	0.079	Finished stage mp_branch [23:16M5474]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [23:16M5474], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5474, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.079]
160822	11:44:54.54	0.046	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [20:16M5448]	[type:STAGE_STARTED, desc:Starting stage mp_branch [20:16M5448], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.046	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [36:16M5518]	[type:STAGE_STARTED, desc:Starting stage mp_branch [36:16M5518], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.046	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [6:16M3144]	[type:STAGE_STARTED, desc:Starting stage mp_branch [6:16M3144], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.046	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [18:16M5446]	[type:STAGE_STARTED, desc:Starting stage mp_branch [18:16M5446], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.046	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [13:16M5413]	[type:STAGE_STARTED, desc:Starting stage mp_branch [13:16M5413], stage:mp_branch, branch_sr:null, branch_ss:null]
